Blonde Ale,1
Pale Ale - English,2
Belgian Strong Dark Ale,3
English Bitter,4
IPA - Session / India Session Ale,5
Lager - Pale,6
Wheat Beer - Witbier,7
Lager - Dark,8
Red Ale - American Amber / Red,9
IPA - International,10
IPA - American,11
Stout - Irish Dry,12
Pilsner - Other,13
Red Ale - Irish,14
Cider - Ice / Applewine,15
Non-Alcoholic Beer,16
Märzen,17
Stout - Other,18
Lager - Euro Pale,19
Pumpkin / Yam Beer,20
Fruit Beer,21
Lager - Helles,22
Rye Beer,23
IPA - English,24
Black & Tan,25
Hefeweizen Light / Leicht,26
Pale Ale - American,27
Pilsner - German,28
Sour - Berliner Weisse,29
Lager - IPL (India Pale Lager),30
Stout - Milk / Sweet,31
Pale Ale - New Zealand,32
Farmhouse Ale - Saison,33
Pale Ale - New England,34
IPA - New England,35
IPA - Brett,36
Stout - Imperial / Double Milk,37
Sour - Other,38
IPA - Farmhouse,39
IPA - Rye,40
Lager - Strong,41
Brown Ale - American,42
Pilsner - Imperial / Double,43
Brown Ale - Other,44
Pale Ale - International,45
Porter - English,46
Spiced / Herbed Beer,47
Barleywine - American,48
Freeze-Distilled Beer,49
IPA - Imperial / Double,50
Porter - Other,51
Sour - Fruited,52
Belgian Quadrupel,53
Sour - Gose,54
Porter - Coffee,55
IPA - Belgian,56
Bock - Doppelbock,57
Barleywine - Other,58
IPA - Black / Cascadian Dark Ale,59
Smoked Beer,60
Porter - Imperial / Double Baltic,61
Pale Ale - Australian,62
Golden Ale,63
Honey Beer,64
Stout - English,65
Stout - Foreign / Export,66
Cream Ale,67
Wheat Beer - American Pale Wheat,68
Sour - Fruited Berliner Weisse,69
IPA - Imperial / Double New England,70
IPA - Triple,71
Kölsch,72
Chilli / Chile Beer,73
Lager - American Light,74
Brown Ale - English,75
American Wild Ale,76
Sour - Fruited Gose,77
Stout - Oatmeal,78
Scotch Ale / Wee Heavy,79
IPA - Milkshake,80
Porter - American,81
Stout - Imperial / Double,82
Belgian Dubbel,83
Table Beer,84
IPA - Brut,85
Pale Ale - Belgian,86
Porter - Baltic,87
Belgian Blonde,88
Belgian Strong Golden Ale,89
Stout - Imperial / Double White,90
Pale Ale - Milkshake,91
Porter - Imperial / Double,92
Gluten-Free,93
Stout - Imperial / Double Oatmeal,94
IPA - Sour,95
Stout - Imperial / Double Coffee,96
Lager - Munich Dunkel,97
Festbier,98
Stout - Imperial / Double Pastry,99
IPA - Imperial / Double Black,100
IPA - Quadruple,101
IPA - Triple New England,102
